Learning Area,Subject,Pathway,Sequence,Level,Achievement Standard
The Arts,Dance,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience dance. They describe where, why and/or how people across cultures, communities and/or other contexts experience dance.</p>
<p>Students use the elements of dance to structure dance sequences. They demonstrate fundamental movement skills and safe dance practice. They perform their dance in informal settings.</p>"
The Arts,Dance,,,Years 3 and 4,"<p>By the end of Year 4, students describe use of the elements of dance in dance they experience, create and/or perform. They describe where, why and/or how dance is choreographed and/or performed across cultures, times, places and/or other contexts.</p><p>Students use the elements of dance to structure dance sequences that communicate ideas, perspectives and/or meaning. They demonstrate fundamental movement skills and safe dance practice. They perform their dance in informal settings.</p>"
The Arts,Dance,,,Years 5 and 6,"<p>By the end of Year 6, students explain how the elements of dance are used in dance that they choreograph, perform and/or experience. They describe how dance from across cultures, times, places and/or other contexts communicates ideas, perspectives and/or meaning. They describe how dance is used to continue and revitalise cultures.</p><p>Students use the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning. They demonstrate safe dance practice and use of technical, and expressive skills. They perform dances in informal and/or formal settings.</p>"
The Arts,Dance,,,Years 7 and 8,"<p>By the end of Year 8, students analyse how the elements of dance, choreographic devices and/or production elements are manipulated in dance they create and/or experience. They evaluate the ways that dance works and/or performances in a range of styles and/or from across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning. They describe respectful approaches to creating, performing and/or responding to dance.</p><p>Students manipulate the elements of dance and choreographic devices to choreograph dance that communicate ideas, perspectives and/or meanings. They demonstrate safe dance practice when choreographing and performing dance. They employ technical and expressive skills and, as appropriate, genre- or style-specific techniques when performing dances for audiences.</p>"
The Arts,Dance,,,Year 9 and 10,"<p>By the end of Year 10, students analyse how and/or why the elements of dance, choreographic devices, genre- or style-specific techniques, production elements, and/or technical and expressive skills are manipulated in dance they create and/or experience. They evaluate how dance works and/or performances in a range of styles and/or from across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning. They evaluate how dance is used to celebrate and challenge perspectives of Australian identity.</p>
<p>Students select and manipulate the elements of dance, choreographic devices and/or structure to choreograph dances. They demonstrate safe dance practice when choreographing and performing dance. They employ technical and expressive skills and genre- or style-specific techniques to enhance communication of ideas, perspectives and/or meaning when performing dance for audiences.</p>"
The Arts,Drama,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience drama. They describe where, why and/or how people across cultures, communities and/or other contexts experience drama.</p> <p>Students pretend and imagine as they create roles and situations in improvised drama and/or dramatic play. They perform their drama in informal settings.</p>"
The Arts,Drama,,,Years 3 and 4,"<p>By the end of Year 4, students describe use of selected elements of drama in drama they experience, create and/or perform. TThey describe where, why and/or how drama is created and/or performed across cultures, times, places and/or other contexts.</p><p>Students use selected elements of drama when creating drama and/or performing. They collaborate to improvise and/or devise drama that communicates ideas, perspectives and/or meaning. They perform their work in informal settings.</p>"
The Arts,Drama,,,Years 5 and 6,"<p>By the end of Year 6, students explain how the elements of drama are used in drama they create, perform and/or experience. They describe how drama created and/or performed across cultures, times, places and/or other contexts communicates ideas, perspectives and/or meaning. They describe how drama is used to continue and revitalise cultures.</p>
<p>Students work collaboratively as they combine elements of drama to shape and sustain dramatic action. They improvise and/or devise drama and/or interpret scripts. They perform their drama in informal and/or formal settings.</p>"
The Arts,Drama,,,Years 7 and 8,"<p>By the end of Year 8, students analyse how elements of drama and/or conventions are manipulated in drama they create and/or experience. They evaluate the ways drama created and/or performed across cultures, times, places and/or other contexts communicates ideas, perspectives and/or meaning. They describe respectful approaches to creating, performing and/or responding to drama.</p> <p>Students work collaboratively to manipulate elements of drama and conventions to shape and sustain dramatic action in improvised, devised and/or scripted drama. They employ performance skills to convey dramatic action and communicate ideas, perspectives and/or meaning when performing drama to audiences.</p>"
The Arts,Drama,,,Year 9 and 10,"<p>By the end of Year 10, students analyse how and why the elements of drama, performance skills and/or conventions are manipulated in drama they create, perform and/or experience. They evaluate how drama in a range of styles and/or from a range of contexts communicates ideas, perspectives and/or meaning. They evaluate how drama is used to celebrate and challenge perspectives of Australian identity.</p>
<p>Students work individually and/or collaboratively to shape and manipulate use of the elements of drama, conventions and/or dramatic structures to?communicate ideas, perspectives and/or meaning. They use performance skills relevant to style and/or form to sustain belief, roles and characters in performances of improvised, devised and/or scripted drama for audiences.</p>"
The Arts,,,,Foundation Year,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.

Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms."
The Arts,Media Arts,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience media arts. They describe where, why and/or how people across cultures, communities and/or other contexts experience media arts.</p>
<p>Students use media languages and media technologies to construct representations in media arts works. They share their work with audiences safely and in informal ways.</p>"
The Arts,Media Arts,,,Years 3 and 4,"<p>By the end of Year 4, students describe the use of media languages and media technologies to construct representations in media arts works they experience and/or produce. They describe where, why and/or how media arts works are created and/or distributed across cultures, times, places, and/or other contexts.</p>
<p>Students use media languages, and media technologies and production processes to construct representations in media arts works. They share their work in informal settings using responsible media practice.</p>"
The Arts,Media Arts,,,Years 5 and 6,"<p>By the end of Year 6, students explain how media languages and media technologies are used in media arts works they construct and/or experience. They describe how media arts works created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meanings. They describe how media arts can be used to continue and revitalise cultures.</p>
<p>Students use media languages, and media technologies and production processes to construct representations in media arts works for specific purposes and audiences. They present their work in informal and/or formal settings using responsible media practice.</p>"
The Arts,Media Arts,,,Years 7 and 8,"<p>By the end of year 8, students analyse the use of media arts concepts to construct representations that communicate ideas, perspectives and/or meaning in media arts works they produce and/or experience. They evaluate use of media arts concepts in media arts works from across cultures, times, places and/or other contexts. They describe respectful approaches to creating and/or responding to media arts works.</p> <p>Students select and manipulate media languages, media technologies and use production processes to construct representations. They create media arts works that communicate ideas, perspectives and/or meanings. They present their work to an audience. They plan where and how they could distribute their work using responsible media practice.</p>"
The Arts,Media Arts,,,Year 9 and 10,"<p>By the end of Year 10, students analyse how and why media arts concepts are manipulated to construct representations in media arts works they produce and/or experience. They evaluate how and why media artists across cultures, times, places and/or other contexts use media arts concepts to represent and/or challenge ideas, perspectives and/or meaning. They evaluate how media arts are used to celebrate and challenge perspectives of Australian identity.</p>
<p>Students use media arts concepts to construct representations and communicate ideas, perspectives and/or meaning. They use responsible media practice and production processes to create media arts works in a range of genres/styles and/or forms, for specific audiences. They present their work to an audience. They plan where and how they could distribute their work and the relationships they could develop with their audiences, using responsible media practice.</p>"
The Arts,Music,,,Years 1 and 2,"<p>By the end of Year 2, students identify where they experience music. They describe where, why and/or how people across cultures, communities and/or other contexts experience music.</p>
<p>Students demonstrate listening skills. They use the elements of music to improvise and/or compose music. They sing and play music in informal settings.</p>"
The Arts,Music,,,Years 3 and 4,"<p>By the end of Year 4, students describe the use of elements of music in music they compose, perform and/or experience. They describe where, why and/or how music is composed and/or performed across cultures, times, places and/or other contexts.</p><p>Students demonstrate listening skills when performing and composing. They combine the elements of music to compose music that communicates ideas. They sing and play music in informal settings.</p>"
The Arts,Music,,,Years 5 and 6,"<p>By the end of Year 6, students explain how elements of music are manipulated in music they compose, perform and/or experience. They describe how music composed and/or performed across contexts, cultures, times and/or places communicates ideas, perspectives and/or meanings. They describe how music is used to continue and/or revitalise cultures.</p>
<p>Students demonstrate listening and aural skills when composing and performing. They use elements of music and compositional devices to compose music that communicates ideas. They notate, document and/or record the music. They perform music in formal and/or informal settings.</p>"
The Arts,Music,,,Years 7 and 8,"<p>By the end of Year 8, students analyse how the elements of music and/or compositional devices are manipulated in music they compose, perform and/or experience. They evaluate the ways music from across cultures, times, places and/or other contexts communicates ideas, perspectives and/or meaning. They describe respectful approaches to composing, performing and/or responding to music.</p><p>Students demonstrate listening and aural skills when composing and performing. They manipulate elements of music and compositional devices to compose music that communicates ideas, perspectives and/or meaning. They notate, document and/or record the music they compose. They manipulate elements of music when performing their own and/or others’ music. They demonstrate performance skills when performing music for audiences.</p>"
